COUNTRY_CODE,REGION_WHO,REGION_UNICEF,REGION_UNAIDS,COUNTRY_NAME,TIME_PERIOD,DATA_SOURCE,is_indicator_relevant,are_data_available,measurement_source,measurement_source_other,period_start_date,period_end_date,data_source_comment,data_comment,state,no_validation_comment_log,no_validation_warnings_list,comments,NEW_ENROL_AVAIL,PERCENT-ALL,PERCENT-TIME_LT_5Y,PERCENT-TIME_5_15Y,PERCENT-TIME_GT_15Y,NUMERATOR-ALL,NUMERATOR-TIME_LT_5Y,NUMERATOR-TIME_5_15Y,NUMERATOR-TIME_GT_15Y,DENOMINATOR-ALL,DENOMINATOR-TIME_LT_5Y,DENOMINATOR-TIME_5_15Y,DENOMINATOR-TIME_GT_15Y,NEW_ENROL_AVAIL_2,PER_CUR_ENROL-ALL,PER_CUR_ENROL-TIME_LT_5Y,PER_CUR_ENROL-TIME_5_15Y,PER_CUR_ENROL-TIME_GT_15Y,NUM_CUR_ENROL-ALL,NUM_CUR_ENROL-TIME_LT_5Y,NUM_CUR_ENROL-TIME_5_15Y,NUM_CUR_ENROL-TIME_GT_15Y,DEN_CUR_ENROL-ALL,DEN_CUR_ENROL-TIME_LT_5Y,DEN_CUR_ENROL-TIME_5_15Y,DEN_CUR_ENROL-TIME_GT_15Y,TBL_ARV_TBT-ALL,TBL_ARV_TBT-TIME_LT_5Y,TBL_ARV_TBT-TIME_5_15Y,TBL_ARV_TBT-TIME_GT_15Y,include_in_csv_export
MUS,Africa,Sub-Saharan Africa,Eastern and southern Africa,Mauritius,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
MOZ,Africa,Sub-Saharan Africa,Eastern and southern Africa,Mozambique,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,"Data are only available for new initiates to ART services, we do not track those currently on ART.  No age disags are currently available.  For the number of people starting TPT previously, you should be able to to sum the previous years of submitted data.",,published,"Date: 2025-04-02 12:35:54.093125
Not all disags are available in the national system
--------
","Some values are missing. Please explain.
The age disaggregation does not add up to the total.",,Yes,99.5,,,,264992,,,,266236,,,,No,,,,,,,,,,,,,,,,,Yes
NAM,Africa,Sub-Saharan Africa,Eastern and southern Africa,Namibia,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-03-24 09:02:39.285854
Corrected
--------
",Please verify and confirm that some percentages have changed by more than 20% compared to the previous year.,,Yes,73.6,40,58.5,74.8,6342,88,83,6171,8614,220,142,8252,Yes,3.8,23.2,3.6,3.8,8221,158,172,7891,215600,682,4753,210165,199701,316,4361,195024,Yes
RWA,Africa,Sub-Saharan Africa,Eastern and southern Africa,Rwanda,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator and denominator below),RHMIS,2024-01-01,2024-12-31,,"Reported data into HMIS are disaggregated into below 15 years, and 15 years and above, that is why the data reported for 5-15 years contains all ages below 15 years.",published,,,,No,,,,,,,,,,,,,No,,,,,,,,,,,,,214945,,4696,210249,Yes
SYC,Africa,Sub-Saharan Africa,Eastern and southern Africa,Seychelles,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-03-26 08:19:54.708112
2023-73 number of people living with HIV newly enrolled on antiretroviral therapy compared to 2024-89 people newly enrolled on antiretroviral therapy has changed by more than 20%
--------
",Please verify and confirm that some percentages have changed by more than 20% compared to the previous year.,,Yes,0,0,0,0,0,0,0,0,89,0,2,87,Yes,4.1,0,0,13.5,5,0,0,5,122,2,83,37,,,,,Yes
ZAF,Africa,Sub-Saharan Africa,Eastern and southern Africa,South Africa,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-03-18 09:29:50.040905
Age disaggregation data not available.
--------
Date: 2025-03-17 16:42:35.677953
Age disaggregation data not available.
--------
","Some values are missing. Please explain.
The age disaggregation does not add up to the total.","Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: The number of people living with HIV on ART that have received TB preventive treatment prior to this reporting period refers to people who are currently on ART that received TB preventive treatment in 2023 or prior years. The number currently reported for this item is the same as the number of people newly enrolled on ART in 2024 that received TB preventive treatment. Please verify. Please verify if data are available on the number of people currently enrolled on ART who received TB preventive treatment during the reporting period.

",Yes,78.3,,,,270523,,,,345675,,,,No,,,,,,,,,,,,,270523,,,,Yes
SSD,Africa,Sub-Saharan Africa,Eastern and southern Africa,South Sudan,2024,GARPR,Yes,No,,,,,,,published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
UGA,Africa,Sub-Saharan Africa,Eastern and southern Africa,Uganda,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-05-30 17:45:22.774962
Consider denominator and numerator for 7.8
--------
Date: 2025-05-30 17:44:30.275762
Consider denominator and numerator for 7.8
--------
",The denominator for this indicator should be the same as the denominator for indicator 7.7. Please verify.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: Last year it was reported [9070] people living with HIV newly enrolled on ART started TB preventive treatment. Please verify if data are available for this reporting period.

Charles Otai (OTHER) said on 30/05/25 at 15:45: Data is available and has been provided

",Yes,6.0,6.6,9.4,5.9,7428,184,200,7044,124712,2787,2127,119798,Yes,6.5,23.9,5.9,6.4,94856,1731,2611,90514,1462482,7245,44582,1410655,102131,2005,3367,96759,Yes
TZA,Africa,Sub-Saharan Africa,Eastern and southern Africa,United Republic of Tanzania,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator and denominator below),HMIS,2024-01-01,2024-12-31,,,published,"Date: 2025-05-22 09:03:05.154809
Yes
--------
Date: 2025-03-20 10:54:31.613485
Yes, not reported last year
--------
Date: 2025-03-20 09:16:25.992850
Yes, not reported last year
--------
",Please verify and confirm that some percentages have changed by more than 20% compared to the previous year.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: The number of people newly enrolled on ART that started TB preventive treatment reported [132045] seems to reflect an important change from the previous reporting period [17909] and seems closer to the number of people who received TB preventive treatment among all people on ART reported last year  [174038]. Please verify. The number of people living with HIV on ART that have received TB preventive treatment prior to this reporting period is the same as the number of people reported last year to have received TB preventive treatment in 2023, kindly note this item refers to all people on ART who received TPT in 2023 or prior years, please verify.

Mohamed Turay (UNAIDS) said on 22/05/25 at 07:02: Data on the number of people newly enrolled on ART that started TB preventive treatment has been corrected and updated.

",Yes,6.9,6.5,9.2,6.8,9665,174,243,9248,141031,2680,2654,135697,No,,,,,,,,,,,,,174038,2632,3510,167896,Yes
ZMB,Africa,Sub-Saharan Africa,Eastern and southern Africa,Zambia,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator and denominator below),The numerator for this indicator is derived from the TB Preventive Therapy (TPT) Register and the denominator is from the Antiretroviral Therapy (ART) Register,2024-01-01,2024-12-31,,,published,"Date: 2025-05-28 10:31:59.729889
The current data collection tools do not disaggregate this indicator by under five (U5) children age group
--------
Date: 2025-03-28 11:02:08.896119
The current data collection tools do not disaggregate this indicator by under five (U5) children age group
--------
Date: 2025-03-27 14:17:43.169771
The current data collection tools do not disaggregate this indicator by under five (U5) children age group
--------
",Some values are missing. Please explain.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: The number of people currently enrolled on ART that started TB preventive treatment reported [231699] seems to reflect an important change from the number reported for the previous reporting period [181529]. Please can you explain the reason for this or revise the data accordingly.

Nyewani Soko (OTHER) said on 28/05/25 at 08:31: Please note that according to Zambia TPT Guidelines, people who complete a TPT treatment course are eligible to receive new treatment 3 years from the date of completion. The country conducts Data Quality Audits (DQAs) to enhance reliability of data, and data is corrected from time to time. The following are the current numbers for PLHIV started on TPT;
Unsaved visualization
Zambia Ministry of Health
Started INH in HIV Care
2018	76,315
2019	189,586
2020	301,256
2021	295,497
2022	278,817
2023	222,208
2024	231,757

",Yes,79.7,,57.8,80.7,92680,0,2713,89967,116214,0,4696,111518,Yes,17.6,8.6,22.5,17.6,231699,441,7256,224002,1312876,5113,32192,1275571,1287260,11393,47678,1228189,Yes
ZWE,Africa,Sub-Saharan Africa,Eastern and southern Africa,Zimbabwe,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator and denominator below),TPT Register,2024-01-01,2024-12-31,,,published,"Date: 2025-03-12 14:56:18.052127
This is due to the changes in TPT initiation policy in Zimbabwe.
Previously, patients would re-dose every three years. Currently TPT is offered to eligible new initiations and PLWHIV in care who are contacts of bacteriologically confirmed cases. The TPT patients are no longer re-dosing every three years, they only receive once in their life time unless they are contacts of bacteriologically confirmed cases
--------
",Please verify and confirm that some percentages have changed by more than 20% compared to the previous year.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: The number of people newly enrolled on ART that started TB preventive treatment reported [35135] seems to reflect an important change from the previous reporting period [56262]. The number of people currently enrolled on ART that started TB preventive treatment reported [115797] seems to reflect an important change from the number reported for the previous reporting period [223732]. Please can you explain the reason for this or revise the data accordingly. The number of people on ART who received TB preventive treatment prior to the reporting period is the same as the number of people reported last year to have received TB preventive treament in 2023, kindly note this item refers to people on ART who received TPT in 2023 or prior years, please verify.

",Yes,54.06,21.52,45.85,54.82,35135,257,492,34386,64996,1194,1073,62729,Yes,9.4,9.2,7.4,9.5,115797,513,2542,112742,1232472,5569,34437,1192466,223732,730,5664,217338,Yes
ARG,America,Latin America and the Caribbean,Latin America,Argentina,2024,GARPR,Yes,No,,,,,,,published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
BOL,America,Latin America and the Caribbean,Latin America,Bolivia (Plurinational State of),2024,GARPR,Yes,No,,,,,,,published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
BRA,America,Latin America and the Caribbean,Latin America,Brazil,2024,GARPR,Yes,No,,,,,"Based on our information systems, we cannot know the number of people on antiretroviral therapy who have taken preventive treatment for tuberculosis.",,published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
CHL,America,Latin America and the Caribbean,Latin America,Chile,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,,,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: El año pasado se reportó que [113] personas iniciaron tratamiento preventivo contra la tuberculosis entre [52610] personas que vivían con el VIH y estaban en tratamiento antirretroviral.Por favor verifique si hay datos disponibles para este periodo de reporte. El número de personas que recibieron tratamiento preventivo contra la tuberculosis antes del periodo de reporte se refiere al número de personas que actualmente reciben tratamiento antirretroviral y recibieron tratamiento preventivo contra la tuberculosis en 2023 o antes; el número reportado de personas que reciben tratamiento antirretroviral y recibieron tratamiento preventivo contra la tuberculosis antes de 2024 parece ser menor que el número de personas que se reportó que recibieron tratamiento preventivo contra la tuberculosis en 2023. Agradecemos puedan verificar.

Carolina Peredo (MINISTRY) said on 02/06/25 at 14:24: Se revisa y se corrige dato.

",Yes,1.8,0,0,1.8,71,0,0,71,3848,3,2,3843,No,,,,,,,,,,,,,113,0,0,113,Yes
COL,America,Latin America and the Caribbean,Latin America,Colombia,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,La información reportada corresponde al registro de las atenciones que reciben las personas que viven con VIH consolidada por la Cuenta de Alto Costo (CAC).,2023-02-01,2024-01-31,,"Aunque el informe Situación del VIH en Colombia 2024 indica que el número total de personas incidentes que iniciaron tratamiento antirretroviral fue de 13.836, no se cuenta con un desagregado por edad para este número de pacientes. Sin embargo, es de anotar que el número reportado y sus desagregaciones fue provisto directamente por la Cuenta de Alto Costo para este informe.",published,"Date: 2025-04-09 17:20:48.738495
En este período se reportó inicio de tratamiento preventivo en un niño menor de 5 años, lo que generó un porcentaje no reportado en años anteriores
--------
Date: 2025-03-12 03:20:05.179787
.
--------
",Verifique y confirme si algunos porcentajes han cambiando en más de un 20% respecto al año anterior,,Yes,1.5,3.6,0,1.5,201,1,0,200,13687,28,24,13635,Yes,1.8,1.7,1.6,1.8,2674,2,8,2664,150136,117,505,149514,9502,4,25,9473,Yes
CRI,America,Latin America and the Caribbean,Latin America,Costa Rica,2024,GARPR,Yes,No,,,,,,,published,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Yes
ECU,America,Latin America and the Caribbean,Latin America,Ecuador,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,Registros administrativos de la EN TB,2024-01-01,2024-12-31,,,published,,,,No,,,,,,,,,,,,,No,,,,,,,,,,,,,1478,1,1,1476,Yes
SLV,America,Latin America and the Caribbean,Latin America,El Salvador,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator and denominator below),"Registro de pacientes en terapia antirretroviral, registro de pacientes con tuberculosis.",2024-01-01,2024-12-31,,,published,"Date: 2025-03-29 12:13:17.837073
Los datos son correctos
--------
","The age disaggregation does not add up to the total.
Verifique y confirme si algunos porcentajes han cambiando en más de un 20% respecto al año anterior","Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: El número de personas actualmente inscritas en tratamiento antirretroviral que iniciaron tratamiento preventivo contra la tuberculosis reportado [1778] parece reflejar un cambio importante con respecto al número reportado para el período de reporte anterior [2599]. El número de personas actualmente inscritas en tratamiento antirretroviral reportado [15344] parece reflejar un cambio importante con respecto al período de reporte anterior [12002]. Agradecemos puedan brindar una explicacion para esto o revisar los datos reportados. El número de personas que recibieron tratamiento preventivo de la tuberculosis (TPT) antes del período de reporte se refiere al número de personas que actualmente reciben tratamiento antirretroviral y recibieron tratamiento preventivo contra la tuberculosis en 2023 o antes; actualmente se reporta el mismo número para este elemento como el número de personas que reciben tratamiento antirretroviral y recibieron tratamiento preventivo contra la tuberculosis en 2024, por favor verificar.

",Yes,65.3,0,0,0,599,0,0,0,917,0,0,0,Yes,11.6,0,0,0,1778,0,0,0,15344,0,0,0,1778,0,0,0,Yes
GTM,America,Latin America and the Caribbean,Latin America,Guatemala,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,Anexo E,2024-01-01,2024-12-31,,cohorte en TAR total tamizados para TB: Número total de personas que viven con el VIH actualmente inscritas en la terapia antirretroviral que iniciaron el tratamiento preventivo contra la tuberculosis durante el periodo del informe,published,"Date: 2025-05-26 18:10:16.924815
No se cuenta con esa información por lo que se colocó 0 en las casillas que lo solicitan.
--------
Date: 2025-05-26 18:09:56.626079
No se cuenta con esa información por lo que se colocó 0 en las casillas que lo solicitan.
Datos verificados con el Programa de Tuberculosis
--------
Date: 2025-04-10 23:20:01.472582
No se cuenta con esa información por lo que se colocó 0 en las casillas que lo solicitan.
--------
","El número de personas que viven con el VIH en tratamiento antirretroviral y que han recibido tratamiento preventivo contra la tuberculosis antes de este período de notificación debería ser mayor que el número de personas que viven con el VIH en tratamiento antirretroviral y que recibieron tratamiento preventivo contra la tuberculosis en 2024. Por favor, verifique o proporcione una explicación.","Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: El número de personas actualmente en tratamiento antirretroviral que iniciaron tratamiento preventivo contra la tuberculosis reportado [2950] parece reflejar un cambio importante con respecto al número reportado en el período anterior [1446]. El número de personas actualmente en tratamiento antirretroviral reportado [23384] parece reflejar un cambio importante con respecto al período anterior [2959]. El número de personas en tratamiento antirretroviral reportado el año pasado parece diferir significativamente del número reportado para 2024. Agradecemos puedan brindar una explicacion para esta diferencia o modificar los datos reportados.

",No,,,,,,,,,,,,,Yes,12.6,2.5,9.8,12.7,2950,2,31,2917,23384,80,316,22988,0,0,0,0,Yes
HND,America,Latin America and the Caribbean,Latin America,Honduras,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,Consolidado de control de terapia preventiva para TB en PVIH nuevos y subsiguientes 2024,2024-01-01,2024-12-31,"La informacion fue recolectada de los 64 Servicios de Atencion Integral, distribuidos en las 20 Regiones Sanitarias del Pais","""Para responder al indicador Porcentaje de personas que viven con el VIH actualmente inscritas en la terapia antirretroviral que iniciaron el tratamiento preventivo para la tuberculosis durante el período de referencia, el denominador se obtiene del consolidado de la cohorte de personas en TAR registrado por UGI/SESAL. Sin embargo, este consolidado no presenta la desagregación por rangos de edad según los requerimientos del indicador""",published,"Date: 2025-03-29 01:25:06.451894
""Para responder al indicador Porcentaje de personas que viven con el VIH actualmente inscritas en la terapia antirretroviral que iniciaron el tratamiento preventivo para la tuberculosis durante el período de referencia, el denominador se obtiene del consolidado de la cohorte de personas en TAR registrado por UGI/SESAL. Sin embargo, este consolidado no presenta la desagregación por rangos de edad según los requerimientos del indicador""														

--------
","Faltan algunos valores. Por favor, explícalo.
The age disaggregation does not add up to the total.","Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: El número de personas que se reporta que recibieron tratamiento preventivo contra la tuberculosis antes del período de reporte se refiere al número de personas que actualmente están en tratamiento antirretroviral y recibieron tratamiento preventivo contra la tuberculosis en 2023 o antes; actualmente se reporta el mismo número para este elemento como el número de personas recién inscritas en tratamiento antirretroviral en 2024, por favor verificar.

",Yes,56.7,,,,649,,,,1144,,,,Yes,8.6,,,,1177,,,,13737,,,,1177,,,,Yes
MEX,America,Latin America and the Caribbean,Latin America,Mexico,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator and denominator below),Registro de personas en TAR y de personas con TB.,2024-01-01,2024-12-31,"Fuente: 
SS/Conasida/Comité de Monitoreo y Evaluación/Grupo de Información Sectorial en VIH y otras ITS. Incluye información del Sector de Salud Público: SS, IMSS y Pemex. El ISSSTE, Semar y Sedena no enviaron datos. Datos al cierre de 2024.

La información fue solicitada a las instituciones del sector salud público que forman parten del Grupo de Información Sectorial en VIH y otras ITS (GIS) del Comité de Monitoreo y Evaluación del Consejo Nacional para la Prevención y Control del Sida (Conasida). Incluye información de SS, IMSS y Pemex. El ISSSTE, Semar y Sedena no enviaron datos. Datos al cierre de 2024.",,edit,"Date: 2025-04-15 00:12:42.723098
Actualmente en revisión
--------
","El denominador de este indicador debe ser el mismo que el del indicador 7.7. Por favor, verifique.
Verifique y confirme si algunos porcentajes han cambiando en más de un 20% respecto al año anterior","Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: El número de personas que viven con el VIH recién inscritas en el trattamento antirretroviral reportado para este indicador [20998] debe ser el mismo que el número de personas que viven con el VIH recién inscritas en el tratamiento antirretroviral reportado para el indicador 7.8 [21009]. Por favor, verificar. Por favor, verificar si se dispone de datos sobre el número de personas actualmente inscritas en el tratamiento antirretroviral que recibieron tratamiento preventivo contra la tuberculosis durante el período de reporte.

",Yes,0.7,0,0,0.7,153,0,0,153,20998,135,103,20760,No,,,,,,,,,,,,,,,,,Yes
NIC,America,Latin America and the Caribbean,Latin America,Nicaragua,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator and denominator below),SIVE-VIH 2024,2024-01-01,2024-12-31,,,edit,"Date: 2025-03-25 18:25:44.975125
En 2024 ha mejorado la profilaxis con INH.
--------
",Verifique y confirme si algunos porcentajes han cambiando en más de un 20% respecto al año anterior,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: El número de personas que se reporta que recibieron tratamiento preventivo contra la tuberculosis antes del período del reporte se refiere al número de personas que actualmente reciben tratamiento antirretroviral y recibieron tratamiento preventivo contra la tuberculosis en 2023 o antes; actualmente se reporta el mismo número para este elemento como el número de personas recién inscritas en tratamiento antirretroviral que recibieron tratamiento preventivo contra la tuberculosis en 2024, por favor verificar. Por favor, verifique si hay datos disponibles sobre el número de personas actualmente inscritas en tratamiento antirretroviral que recibieron tratamiento preventivo contra la tuberculosis durante el período del reporte.

",Yes,61.5,0,16.7,61.9,691,0,1,690,1123,3,6,1114,No,,,,,,,,,,,,,691,0,1,690,Yes
PAN,America,Latin America and the Caribbean,Latin America,Panama,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-05-22 20:30:11.736689
En relación a los recién inscritos en la terapia antirretroviral: los porcentajes fueron verificados y corresponden.

Algunos porcentajes han cambiado en más de un 20% con relación al año anterior, debido a que hemos adoptado un nuevo esquema de profilaxis  para la infección TB, lo que permite el ingreso a un mayor número de personas y el mismo favorece la mayor adherencia a la profilaxis.

El número de personas que viven con el VIH en tratamiento antirretroviral y que han recibido tratamiento preventivo contra la tuberculosis fue mayor en el 2024 debido a que la gran mayoría de las persona recibieron  el nuevo régimen: de 3 meses de rifapentina más isoniazida semanales. Sin embargo, en el año 2023 se utilizó mayormente el esquema de 6 meses de Nonoterapia con INH.

--------
Date: 2025-04-14 15:54:11.864537
En relación a los recién inscritos en la terapia antirretroviral: los porcentajes fueron verificados y corresponden.

Algunos porcentajes han cambiado en más de un 20% con relación al año anterior, debido a que hemos adoptado un nuevo esquema de profilaxis  para la infección TB, lo que permite el ingreso a un mayor número de personas y el mismo favorece la mayor adherencia a la profilaxis.

El número de personas que viven con el VIH en tratamiento antirretroviral y que han recibido tratamiento preventivo contra la tuberculosis fue mayor en el 2024 debido a que la gran mayoría de las persona recibieron  el nuevo régimen: de 3 meses de rifapentina más isoniazida semanales. Sin embargo, en el año 2023 se utilizó mayormente el esquema de 6 meses de Nonoterapia con INH.

--------
Date: 2025-04-14 04:43:54.712355
En relación a los recién inscritos en la terapia antirretroviral: los porcentajes fueron verificados y corresponden.

Algunos porcentajes han cambiado en más de un 20% con relación al año anterior, debido a que hemos adoptado un nuevo esquema de profilaxis  para la infección TB, lo que permite el ingreso a un mayor número de personas y el mismo favorece la mayor adherencia a la profilaxis.

El número de personas que viven con el VIH en tratamiento antirretroviral y que han recibido tratamiento preventivo contra la tuberculosis fue mayor en el 2024 debido a que la gran mayoría de las persona recibieron  el nuevo régimen: de 3 meses de rifapentina más isoniazida semanales. Sin embargo, en el año 2023 se utilizó mayormente el esquema de 6 meses de Nonoterapia con INH.

--------
Date: 2025-04-14 03:46:07.563012
En relación a los recién inscritos en la terapia antirretroviral: los porcentajes fueron verificados y corresponden.

Algunos porcentajes han cambiado en más de un 20% con relación al año anterior, debido a que hemos adoptado un nuevo esquema de profilaxis  para la infección TB, lo que permite el ingreso a un mayor número de personas y el mismo favorece la mayor adherencia a la profilaxis.

El número de personas que viven con el VIH en tratamiento antirretroviral y que han recibido tratamiento preventivo contra la tuberculosis fue mayor en el 2024 debido a que la gran mayoría de las persona recibieron  el nuevo régimen: de 3 meses de rifapentina más isoniazida semanales. Sin embargo, en el año 2023 se utilizó mayormente el esquema de 6 meses de Nonoterapia con INH.

--------
Date: 2025-04-14 03:26:25.598055
En relación a los recién inscritos en la terapia antirretroviral: los porcentajes fueron verificados y corresponden.

Algunos porcentajes han cambiado en más de un 20% con relación al año anterior, debido a que hemos adoptado un nuevo esquema de profilaxis  para la infección TB, lo que permite el ingreso a un mayor número de personas y el mismo favorece la mayor adherencia a la profilaxis.

El número de personas que viven con el VIH en tratamiento antirretroviral y que han recibido tratamiento preventivo contra la tuberculosis fue mayor en el 2024 debido a que la gran mayoría de las persona recibieron  el nuevo régimen: de 3 meses de rifapentina más isoniazida semanales. Sin embargo, en el año 2023 se utilizó mayormente el esquema de 6 meses de Nonoterapia con INH.

--------
","Verifique y confirme si algunos porcentajes han cambiando en más de un 20% respecto al año anterior
El número de personas que viven con el VIH en tratamiento antirretroviral y que han recibido tratamiento preventivo contra la tuberculosis antes de este período de notificación debería ser mayor que el número de personas que viven con el VIH en tratamiento antirretroviral y que recibieron tratamiento preventivo contra la tuberculosis en 2024. Por favor, verifique o proporcione una explicación.","Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: El número de personas recién inscritas en tratamiento antirretroviral que iniciaron tratamiento preventivo contra la tuberculosis reportado [664] parece reflejar un cambio importante con respecto al período de reporte anterior [497]. El número de personas actualmente inscritas en tratamiento antirretroviral que iniciaron tratamiento preventivo contra la tuberculosis reportado [1089] parece reflejar un cambio importante con respecto al número reportado para el período de reporte anterior [482]. Por favor, explique la razón de este cambio o revise los datos reportados. El número de personas que viven con el VIH en tratamiento antirretroviral que han recibido tratamiento preventivo contra la tuberculosis antes de este periodo de reporte [574] debería ser mayor que el número de personas que viven con el VIH en tratamiento antirretroviral que recibieron tratamiento preventivo contra la tuberculosis en 2023 [1089]. Agradecemos puedan verificar.

Rosa Lowe (MINISTRY) said on 22/05/25 at 18:45: El número de personas recién inscritas en el tratamiento antirretroviral que iniciaron tratamiento preventivo contra la tuberculosis reportados, al igual que el número de personas actualmente inscritas en tratamiento antirretroviral que iniciaron tratamiento preventivo contra la tuberculosis, reflejan un cambio importante, debido a que, el país cambió al nuevo esquema de profilaxis para la infección TB, lo que permitió administrar estos medicamentos a un número mayor de pacientes y dicho esquema favoreció una mayor adherencia a la profilaxis. Por lo tanto, cada 3 meses se pudo ingresar nuevas personas en la profilaxis, los que permanecían adheridos, hasta completar en esquema.

El número de personas reportados que viven con el VIH en tratamiento antirretroviral que han recibido tratamiento preventivo contra la tuberculosis antes de este periodo de reporte, fue de 574 en el año 2023 y  el número de personas que viven con el VIH en tratamiento antirretroviral que recibieron tratamiento preventivo contra la tuberculosis en el 2024 fue de 1089.  Esta última cifra es mayor que el reportado el año anterior, ya que en el 2024 la gran mayoría de las persona recibieron el nuevo régimen de profilaxis que consiste en:  3 meses de Rifapentina más Isoniazida semanales; sin embargo, en el año 2023 se utilizó mayormente el esquema de 6 meses de Monoterapia con INH. Además, los datos del 2023 contemplan solamente aquellos pacientes que iniciaron la profilaxis en el segundo trimestre del año.

",Yes,33.2,31.25,57.1,33.16,664,5,4,655,1998,16,7,1975,Yes,5.2,0,0.7,5.2,1089,0,1,1088,21034,63,144,20827,574,4,1,569,Yes
PRY,America,Latin America and the Caribbean,Latin America,Paraguay,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-05-20 18:58:31.837655
si confirmamos los datos
--------
Date: 2025-03-27 15:33:08.467569
si confirmamos los datos
--------
",Verifique y confirme si algunos porcentajes han cambiando en más de un 20% respecto al año anterior,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:18: El número de personas recién inscritas en tratamiento antirretroviral reportado [1414] parece reflejar un cambio importante con respecto al período anterior [1837]. El número de personas actualmente inscritas en tratamiento antirretroviral que iniciaron tratamiento preventivo contra la tuberculosis reportado [888] parece reflejar un cambio importante con respecto al número reportado para el período anterior [228]. Por favor, explique el motivo o revise los datos reportados.

Giulia Cipolla (MINISTRY) said on 20/05/25 at 16:58: En relación a la primera pregunta, desde el 01/01/2024 se implementa el registro obligatorio de la atención a personas con VIH en el Sistema de Información en Salud (HIS), el registro obligatorio de la dispensación de farmacia a través del Sistema de control de insumos automatizados del Paraguay (SICIAP), logrando una implementación del HIS 76% y del Siciap del 96%.
Consideramos aún existen brechas en el registro de la información.

Con respecto a la TPT, desde el 01/01/2024 se exigio el cumplimiento de la normativa vigente de inicio de TPT a todas las PVV con CD4 menor a 200 cel/ml.

",Yes,8.5,0,0,8.6,120,0,0,120,1414,10,6,1398,Yes,6.7,0,0,6.7,888,0,0,888,13298,29,110,13159,,,,,Yes
