COUNTRY_CODE,REGION_WHO,REGION_UNICEF,REGION_UNAIDS,COUNTRY_NAME,TIME_PERIOD,DATA_SOURCE,is_indicator_relevant,are_data_available,measurement_source,measurement_source_other,period_start_date,period_end_date,data_source_comment,data_comment,state,no_validation_comment_log,no_validation_warnings_list,comments,NUMERATOR-TOTAL,include_in_csv_export
BEN,Africa,Sub-Saharan Africa,Western and central Africa,Benin,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,,,published,,,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: Le Programme national de lutte contre la tuberculose a rapporté [431] cas de tuberculose parmi les personnes vivant avec le VIH sous TAR à l'OMS. Veuillez consulter le Programme national de lutte contre la tuberculose et rapporter les données pour la période considérée, ou fournir une explication.

Achille ADOKO (UNAIDS) said on 21/05/25 at 15:33: Merci

",431,Yes
BFA,Africa,Sub-Saharan Africa,Western and central Africa,Burkina Faso,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,,,published,,,,466,Yes
BDI,Africa,Sub-Saharan Africa,Western and central Africa,Burundi,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,Rapport PNILT,2024-01-01,2024-12-31,,,edit,"Date: 2025-03-31 13:42:23.924993
Qualités des données
--------
",Veuillez vérifier et confirmer que certains numérateurs ont changé de plus de 20% par rapport à l'année précédente.,,492,Yes
CPV,Africa,Sub-Saharan Africa,Western and central Africa,Cabo Verde,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
CMR,Africa,Sub-Saharan Africa,Western and central Africa,Cameroon,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,,,published,,,,3685,Yes
CAF,Africa,Sub-Saharan Africa,Western and central Africa,Central African Republic,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,DHIS2,2024-01-01,2024-12-31,,,published,,,,2828,Yes
TCD,Africa,Sub-Saharan Africa,Western and central Africa,Chad,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,,,published,,,,1505,Yes
COG,Africa,Sub-Saharan Africa,Western and central Africa,Congo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
CIV,Africa,Sub-Saharan Africa,Western and central Africa,Côte d'Ivoire,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,,,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: Le Programme national de lutte contre la tuberculose a rapporté [2573] cas de tuberculose parmi les personnes vivant avec le VIH sous TAR à l'OMS, ce qui diffère du nombre de personnes vivant avec le VIH et la tuberculose sous TAR rapporté pour cet indicateur [2496]. Pourriez-vous en discuter avec vos collègues du Programme national de lutte contre la tuberculose et convenir d'une valeur unique pour cet indicateur.

",2496,Yes
COD,Africa,Sub-Saharan Africa,Western and central Africa,Democratic Republic of the Congo,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,"Date: 2025-05-31 05:08:24.955659
Nous confirmons cet indicateur, du fait que le cas incident de la TB ont augmenté au pays.
--------
Date: 2025-03-30 15:50:26.054160
Nous confirmons cet indicateur, du fait que le cas incident de la TB ont augmenté au pays.
--------
",Veuillez vérifier et confirmer que certains numérateurs ont changé de plus de 20% par rapport à l'année précédente.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: Les données rapportées semblent refléter un changement important par rapport aux données rapportées l'année dernière. Le Programme national de lutte contre la tuberculose a rapporté [11 054] cas de tuberculose parmi les personnes vivant avec le VIH sous TAR à l'OMS, ce qui diffère du nombre de personnes vivant avec le VIH et la tuberculose sous TAR rapporté pour cet indicateur [16 809]. Le Programme national de lutte contre la tuberculose a également rapporté [12 323] cas de tuberculose parmi les personnes vivant avec le VIH à l'OMS (qu'elles soient sous TAR ou non). Le nombre de personnes vivant avec le VIH et avec tuberculose sous TAR rapporté pour cet indicateur [16 809] ne devrait pas être supérieur à ce chiffre. Veuillez en discuter avec vos collègues du Programme national de lutte contre la tuberculose et convenir du nombre à rapporter.

Lisa NTUMBA (OTHER) said on 31/05/25 at 03:08: Nous allons en discuter avec nos collègues de PNLT et nous allons corriger le nombre à rapporter

",16809,No
GNQ,Africa,Sub-Saharan Africa,Western and central Africa,Equatorial Guinea,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
GAB,Africa,Sub-Saharan Africa,Western and central Africa,Gabon,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,published,,,,791,Yes
GMB,Africa,Sub-Saharan Africa,Western and central Africa,Gambia (Republic of The),2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,,,published,,,,297,Yes
GHA,Africa,Sub-Saharan Africa,Western and central Africa,Ghana,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2024-01-01,2024-12-31,,,published,,,,2131,Yes
GIN,Africa,Sub-Saharan Africa,Western and central Africa,Guinea,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,donnée du programme du plan international guinée,2024-01-01,2024-12-31,,,published,"Date: 2025-03-13 14:29:15.891038
CONFIRMER
--------
Date: 2025-03-13 14:28:01.975651
CONFIRMER
--------
",Veuillez vérifier et confirmer que certains numérateurs ont changé de plus de 20% par rapport à l'année précédente.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: Il a été rapporté que [3407] personnes vivant avec le VIH et avec tuberculose sous TAR ont commencé un traitement contre la tuberculose en 2023, contre [4442] en 2024. Cela semble refléter un changement important. Le Programme national de lutte contre la tuberculose a rapporté [2956] cas de tuberculose parmi les personnes vivant avec le VIH sous TAR à l'OMS, ce qui diffère du nombre de personnes vivant avec le VIH et avec tuberculose sous TAR rapporté pour cet indicateur [4442]. Le Programme national de lutte contre la tuberculose a également rapporté [2965] cas de tuberculose parmi les personnes vivant avec le VIH à l'OMS (qu'elles soient ou non sous TAR). Le nombre de personnes vivant avec le VIH et la tuberculose sous TAR rapporté pour cet indicateur [4442] ne devrait pas être supérieur à ce chiffre. Veuillez en discuter avec vos collègues du Programme national de lutte contre la tuberculose et vous mettre d'accord sur le nombre à rapporter.

",4442,No
GNB,Africa,Sub-Saharan Africa,Western and central Africa,Guinea-Bissau,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
LBR,Africa,Sub-Saharan Africa,Western and central Africa,Liberia,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,HMIS/DHIS2,2024-01-01,2024-12-31,,,published,,,,730,Yes
LBY,Eastern Mediterranean,Middle East and North Africa,Western and central Africa,Libya,2024,GARPR,No,No,,,,,,,edit,,,,,Yes
MLI,Africa,Sub-Saharan Africa,Western and central Africa,Mali,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator below),DHIS2,2024-01-01,2024-12-31,,,published,"Date: 2025-03-18 12:18:55.848017
Il y avait une erreur dans le calcul de l'indicateur en 2023 (on avait ajouté les cas de TB testée positive au VIH et qui avaient commencé le traitement ARV)
--------
",Veuillez vérifier et confirmer que certains numérateurs ont changé de plus de 20% par rapport à l'année précédente.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: Le Programme national de lutte contre la tuberculose a rapporté [433] cas de tuberculose parmi les personnes vivant avec le VIH sous TAR à l'OMS, ce qui diffère du nombre de personnes vivant avec le VIH et la tuberculose sous TAR rapporté pour cet indicateur [293]. Pourriez-vous discuter avec vos collègues du Programme national de lutte contre la tuberculose et convenir d'une valeur unique pour cet indicateur.

",293,No
MRT,Africa,Sub-Saharan Africa,Western and central Africa,Mauritania,2024,GARPR,Yes,No,,,,,,,published,,,,,Yes
MAR,Eastern Mediterranean,Middle East and North Africa,Western and central Africa,Morocco,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,Données des centres CDTMR,2024-01-01,2024-12-31,,,published,,,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: Le Programme national de lutte contre la tuberculose a rapporté [334] cas de tuberculose parmi les personnes vivant avec le VIH sous TAR à l'OMS, ce qui diffère du nombre de personnes vivant avec le VIH et la tuberculose sous TAR rapporté pour cet indicateur [240]. Pourriez-vous en discuter avec vos collègues du Programme national de lutte contre la tuberculose et convenir d'une valeur unique pour cet indicateur.

Hind EL HAJJI (UNAIDS) said on 22/05/25 at 19:57: Après vérification avec l’équipe du Programme National de Lutte contre la Tuberculose, il en ressort que la valeur de cet indicateur est de 334

",240,Yes
NER,Africa,Sub-Saharan Africa,Western and central Africa,Niger,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator below),DHIS2,2024-01-01,2024-12-31,,,published,"Date: 2025-05-30 17:39:44.519760
correction apportée avec les données mise à jour
--------
",Veuillez vérifier et confirmer que certains numérateurs ont changé de plus de 20% par rapport à l'année précédente.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: Le Programme national de lutte contre la tuberculose a rapporté [330] cas de tuberculose parmi les personnes vivant avec le VIH sous TAR à l'OMS. Les données ont été rapportées sur le nombre de personnes vivant avec le VIH et avec tuberculose qui étaient sous TAR et avaient commencé un traitement contre la tuberculose pendant la période de rapport pour 2023. Veuillez consulter le Programme national de lutte contre la tuberculose et rapporter les données pour la période de rapport actuelle, ou fournir une explication.

Mariama Hamidou (MINISTRY) said on 30/05/25 at 15:44: Données révisés et publiées dans le rapport DHIS2 2024 du programme National de lutte contre le Sida et les Hépatites

",361,Yes
NGA,Africa,Sub-Saharan Africa,Western and central Africa,Nigeria,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,NDARS,2024-01-01,2024-12-31,,"The data reported here is Number of PLHIV on ART with active TB disease who initiated TB treatment, this is inclusive of those new on ART and those previously on ART",published,,,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: It was reported that [16467] people living with HIV with TB on ART started TB treatment in 2023, compared to [17520] for 2024. This seems to reflect an important change. Please can you explain the reason for this or consult with the National TB Programme, review the data and revise accordingly.

",17520,Yes
STP,Africa,Sub-Saharan Africa,Western and central Africa,Sao Tome and Principe,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
SEN,Africa,Sub-Saharan Africa,Western and central Africa,Senegal,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator below),DONNEES COLLECTEES DU PROGRAMME NATIONAL DE LUTTE CONTRE LA TUBERCULOSE,2024-01-01,2024-12-31,,,published,,,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: Le Programme national de lutte contre la tuberculose a rapporté [519] cas de tuberculose parmi les personnes vivant avec le VIH sous TAR à l'OMS, ce qui diffère du nombre de personnes vivant avec le VIH et la tuberculose sous TAR rapporté pour cet indicateur [700]. Pourriez-vous en discuter avec vos collègues du Programme national de lutte contre la tuberculose et convenir d'une valeur unique pour cet indicateur.

",700,Yes
SLE,Africa,Sub-Saharan Africa,Western and central Africa,Sierra Leone,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,National HMIS/DHIS2,2024-01-01,2024-12-31,,,published,"Date: 2025-06-04 12:44:53.476245
The reported figure in GAM is the data on DHIS2.
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,,11151,No
TGO,Africa,Sub-Saharan Africa,Western and central Africa,Togo,2024,GARPR,Yes,Yes,Tuberculosis Patient Registers,,2023-12-26,2024-12-25,,,published,"Date: 2025-03-28 11:15:50.848586
Renforcement des capacités des prestataires sur la recherche active de la tuberculose
L'enquête autour des cas contagieux qui se faisait sur 35 sites CDT est passée à 90 en 2024;
--------
Date: 2025-03-24 15:54:52.965363
Renforcement des capacités des prestataires sur la recherche active de la tuberculose
--------
Date: 2025-03-24 12:55:24.127764
Renforcement des capacités des prestataires sur la recherche active de la tuberculose
--------
",Veuillez vérifier et confirmer que certains numérateurs ont changé de plus de 20% par rapport à l'année précédente.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: Il est rapporté que [398] personnes vivant avec le VIH et avec tuberculose sous TAR ont commencé un traitement contre la tuberculose en 2023, contre [510] en 2024. Cela semble refléter un changement important. Le Programme national de lutte contre la tuberculose a rapporté [390] cas de tuberculose parmi les personnes vivant avec le VIH sous TAR à l'OMS, ce qui diffère du nombre de personnes vivant avec le VIH et la tuberculité sous TAR rapporté pour cet indicateur [510]. Pourriez-vous discuter avec vos collègues du Programme national de lutte contre la tuberculose et vous mettre d'accord sur le nombre à rapporter.

Abalo LIMAZIE (MINISTRY) said on 04/06/25 at 15:10: Merci pour cette question.
Nous avions travaillé avec nos collegues du programme de Tuberculose qui ont rapporté dans le rapport annuel 392.
Nous avions corrigé la donnée rapportée

",392,Yes
TUN,Eastern Mediterranean,Middle East and North Africa,Western and central Africa,Tunisia,2024,GARPR,Yes,Yes,Antiretroviral Patient Registers,,2024-01-01,2024-12-31,,,edit,"Date: 2025-03-31 12:10:31.955164
je confirme
--------
",Veuillez vérifier et confirmer que certains numérateurs ont changé de plus de 20% par rapport à l'année précédente.,,6,Yes
AND,Europe,,Western and central Europe and North America,Andorra,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
AUT,Europe,,Western and central Europe and North America,Austria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
BEL,Europe,,Western and central Europe and North America,Belgium,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
BGR,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Western and central Europe and North America,Bulgaria,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
CAN,America,,Western and central Europe and North America,Canada,2024,GARPR,Yes,No,,,,,,,published,,,,,Yes
HRV,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Western and central Europe and North America,Croatia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
CYP,Europe,,Western and central Europe and North America,Cyprus,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
CZE,Europe,,Western and central Europe and North America,Czechia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
DNK,Europe,,Western and central Europe and North America,Denmark,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
EST,Europe,,Western and central Europe and North America,Estonia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
FIN,Europe,,Western and central Europe and North America,Finland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
FRA,Europe,,Western and central Europe and North America,France,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
DEU,Europe,,Western and central Europe and North America,Germany,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
GRC,Europe,,Western and central Europe and North America,Greece,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
HUN,Europe,,Western and central Europe and North America,Hungary,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
ISL,Europe,,Western and central Europe and North America,Iceland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
IRL,Europe,,Western and central Europe and North America,Ireland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
ISR,Europe,,Western and central Europe and North America,Israel,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
ITA,Europe,,Western and central Europe and North America,Italy,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
002,Europe,,Western and central Europe and North America,Kosovo,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
LVA,Europe,,Western and central Europe and North America,Latvia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
LIE,Europe,,Western and central Europe and North America,Liechtenstein,2024,GARPR,Yes,No,,,,,,,published,,,,,Yes
LTU,Europe,,Western and central Europe and North America,Lithuania,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
LUX,Europe,,Western and central Europe and North America,Luxembourg,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
MLT,Europe,,Western and central Europe and North America,Malta,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
MCO,Europe,,Western and central Europe and North America,Monaco,2024,GARPR,No,No,,,,,,,published,,,,,Yes
NLD,Europe,,Western and central Europe and North America,Netherlands,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
NOR,Europe,,Western and central Europe and North America,Norway,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
POL,Europe,,Western and central Europe and North America,Poland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
PRT,Europe,,Western and central Europe and North America,Portugal,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
SMR,Europe,,Western and central Europe and North America,San Marino,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
SRB,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Western and central Europe and North America,Serbia,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator below),Entered  data are derived from from National AIDS register (there are 4  new TB case among newly diagnosed PLHIV/AIDS cases registered in 2024) and  data from National TB register/ NTP .,2024-01-01,2024-12-31,"Based on the estimates of HIV-positive incident TB cases for 2014 (WHO TB Data) which is 12 cases for Serbia (<10 cases - 20 cases) or Inc rate of 0.12 per 100.000 population and in line with estimated HIV sera-prevalence among hospitalized TB patients which was 0.3% (representative cross-sectional survey conducted in 2011 by IPH of Serbia),  notified TB cases and incident HIV+ TB cases in previous period the best estimates of HIV+ incident TB cases provided by experts is less than 10 for 2024.",,published,"Date: 2025-04-02 14:54:55.798688
I cinfirm it,
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,,4,Yes
SVK,Europe,,Western and central Europe and North America,Slovakia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
SVN,Europe,,Western and central Europe and North America,Slovenia,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
ESP,Europe,,Western and central Europe and North America,Spain,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
SWE,Europe,,Western and central Europe and North America,Sweden,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
CHE,Europe,,Western and central Europe and North America,Switzerland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
TUR,Europe,Central and Eastern Europe and the Commonwealth of Independent States,Western and central Europe and North America,Türkiye,2024,GARPR,Yes,Yes,Other tools (please define data sources for numerator below),HIV/AIDS notification forms.,2024-01-01,2024-12-31,HIV/AIDS notification forms include the information of those who also have tb infection at the same time as the HIV diagnosis is confirmed.,,published,"Date: 2025-05-22 14:30:39.115290
.
--------
Date: 2025-04-11 13:41:19.106161
.
--------
Date: 2025-04-11 13:41:15.637739
.
--------
",Please verify and confirm that some numerators have changed by more than 20% compared to the previous year.,"Victoria Bendaud (UNAIDS) said on 19/05/25 at 08:17: The National TB Programme has reported [89] TB cases among people living with HIV on ART to WHO, which is different from the number of people living with HIV with TB on ART reported for this indicator [7]. Please could you discuss with your colleagues in the National TB Programme and agree on one value for this indicator.

Taliha Karakök (MINISTRY) said on 22/05/25 at 12:31: We discussed it with our colleagues in the National TB Programme and corrected the value to 89.

",89,Yes
GBR,Europe,,Western and central Europe and North America,United Kingdom of Great Britain and Northern Ireland,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
USA,America,,Western and central Europe and North America,United States of America,-,-,-,-,-,-,-,-,-,-,-,-,-,-,,Yes
